,Scott Road,Columbia,New Westminster,22nd Street,Edmonds,Royal Oak,Metrotown,Patterson,Joyce–Collingwood,29th Avenue,Nanaimo,Commercial–Broadway,Main Street–Science World,Stadium–Chinatown,Granville,Burrard,Waterfront,Lougheed Town Centre,Production Way–University,Braid,Sapperton,Gateway,Surrey Central,King George,Lincoln,Lafarge Lake–Douglas,Coquitlam Central,Inlet Centre,Moody Centre,Burquitlam,Lake City Way,Sperling–Burnaby Lake,Holdom,Brentwood Town Centre,Gilmore,Rupert,Renfrew,VCC–Clark,Aberdeen,Lansdowne,Richmond–Brighouse,Vancouver City Centre,Yaletown–Roundhouse,Olympic Village,Broadway–City Hall,King Edward,Oakridge-41st Avenue,Langara-49th Avenue,Marine Drive,Bridgeport,Templeton,Sea Island Centre,YVR–Airport
Renfrew,19786.962294700003,17321.778932700003,17019.2570331,14126.176726099999,12106.680325099998,9669.696629099999,8358.6943851,7574.234169,5901.433406,4677.425244,3808.307839,1855.288476,4618.584368,5682.4110709999995,6333.576695899999,6717.0366471,7618.9079126,11488.757353700003,9817.608988700002,13597.928127700003,14720.617667700002,22095.732919700004,23220.597885700005,24055.875891900003,21878.703038699998,22479.0908483,21009.1503417,18995.2377647,17710.6262547,13426.266550700002,8268.315422700001,6367.204033700001,4910.558392700001,3441.9224757,2536.7440284,908.2136554,0,2698.2191353,20137.320114600003,21184.682661600003,21903.577245100005,8174.0779676,9246.935663600001,10254.790473600002,10683.560766400002,12203.762894400003,14111.819471400002,14876.216020600003,16727.931095600004,18570.522466600003,20150.774662600004,21110.643051100004,22609.237353100005
VCC–Clark,19087.9592176,16622.7758556,16006.899216400001,13113.8189094,11094.3225084,8657.338812400001,7346.336568400001,6561.876352300001,4889.0755893000005,3665.0674273,2795.9500223,842.9306593,3606.2265513,4670.0532543,5321.2188792,5704.6788304,6606.5500959,14186.976489,12515.828124000001,16296.147263,17418.836803000002,21396.7298426,22521.594808600003,23356.8728148,24576.922174,25177.3099836,23707.369477,21693.4569,20408.845390000002,16124.485686,10966.534558000001,9065.423169000002,7608.7775280000005,6140.141611,5234.9631637,3606.4327906999997,2698.2191353,0,19124.9622979,20172.324844900002,20891.219428400003,7161.720150900001,8234.5778469,9242.4326569,9671.2029497,11191.405077700001,13099.4616547,13863.858203900001,15715.573278900001,17558.1646499,19138.416845900003,20098.285234400002,21596.879536400003
Aberdeen,36527.06019690001,34061.87683490001,33446.000195700006,30552.919888700006,28533.423487700005,26096.439791700006,24785.437547700007,24000.977331600006,22328.176568600007,21104.168406600005,20235.051001600004,18282.031638600005,15518.735746600003,14454.909043600002,13803.743418700002,13420.283467500001,12518.412202000001,31626.07746830001,29954.929103300008,33735.24824230001,34857.93778230001,38835.83082190001,39960.69578790001,40795.97379410001,42016.02315330002,42616.410962900016,41146.47045630002,39132.55787930002,37847.946369300014,33563.58666530001,28405.635537300008,26504.524148300006,25047.878507300007,23579.242590300008,22674.064143000007,21045.533770000005,20137.320114600006,19124.962297900005,0,1047.362547,1766.2571305,11963.242147,10890.384451000002,9882.529641000001,9453.759348200001,7933.5572202,6025.5006432,5261.104094,3409.389019,1566.797648,3147.049844,4106.9182325,5605.5125345
Lansdowne,37574.42274390001,35109.239381900006,34493.3627427,31600.282435700003,29580.786034700002,27143.802338700003,25832.800094700004,25048.339878600003,23375.539115600004,22151.530953600002,21282.4135486,19329.394185600002,16566.0982936,15502.2715906,14851.105965699999,14467.646014499998,13565.774748999998,32673.440015300006,31002.291650300005,34782.61078930001,35905.30032930001,39883.19336890001,41008.05833490001,41843.33634110001,43063.385700300016,43663.77350990001,42193.83300330002,40179.920426300014,38895.30891630001,34610.94921230001,29452.998084300005,27551.886695300003,26095.241054300004,24626.605137300005,23721.426690000004,22092.896317000002,21184.682661600003,20172.324844900002,1047.362547,0,718.8945835,13010.604693999998,11937.746997999999,10929.892187999998,10501.121895199998,8980.9197672,7072.8631902,6308.466641,4456.751566,2614.160195,4194.412391,5154.2807795,6652.8750815
Richmond–Brighouse,38293.31732740001,35828.133965400004,35212.2573262,32319.1770192,30299.6806182,27862.6969222,26551.6946782,25767.2344621,24094.433699100002,22870.4255371,22001.3081321,20048.2887691,17284.9928771,16221.1661741,15570.0005492,15186.540598,14284.6693325,33392.3345988,31721.186233800003,35501.5053728,36624.1949128,40602.087952400005,41726.952918400006,42562.23092460001,43782.280283800006,44382.6680934,42912.72758680001,40898.815009800004,39614.2034998,35329.8437958,30171.892667800003,28270.7812788,26814.135637800002,25345.499720800002,24440.3212735,22811.7909005,21903.5772451,20891.2194284,1766.2571305,718.8945835,0,13729.4992775,12656.6415815,11648.7867715,11220.0164787,9699.8143507,7791.7577737,7027.3612245,5175.6461495,3333.0547785,4913.306974499999,5873.175362999999,7371.769665
Vancouver City Centre,24563.8180499,22098.6346879,21482.7580487,18589.6777417,16570.1813407,14133.1976447,12822.1954007,12037.7351846,10364.9344216,9140.9262596,8271.8088546,6318.7894916,3555.4935995999995,2491.6668965999997,1840.5012717,1457.0413205,555.170055,19662.8353213,17991.6869563,21772.0060953,22894.6956353,26872.588674900002,27997.453640900003,28832.7316471,30052.7810063,30653.1688159,29183.2283093,27169.3157323,25884.704222300003,21600.3445183,16442.3933903,14541.282001299998,13084.636360299999,11616.0004433,10710.821995999999,9082.291623,8174.077967599999,7161.7201509,11963.242146999999,13010.604694,13729.4992775,0,1072.857696,2080.712506,2509.4827987999997,4029.6849267999996,5937.7415038,6702.138053,8553.853127999999,10396.444499,11976.696694999999,12936.565083499998,14435.159385499997
Yaletown–Roundhouse,25636.6757459,23171.4923839,22555.6157447,19662.5354377,17643.0390367,15206.055340699999,13895.0530967,13110.5928806,11437.7921176,10213.7839556,9344.666550599999,7391.6471876,4628.3512955999995,3564.5245926,2913.3589677,2529.8990165,1628.027751,20735.693017300004,19064.544652300003,22844.863791300006,23967.553331300005,27945.4463709,29070.311336900002,29905.5893431,31125.6387023,31726.0265119,30256.0860053,28242.1734283,26957.5619183,22673.202214300003,17515.251086300002,15614.139697300001,14157.4940563,12688.8581393,11783.679692,10155.149319,9246.9356636,8234.5778469,10890.384451,11937.746998,12656.6415815,1072.857696,0,1007.85481,1436.6251028000001,2956.8272308,4864.8838078,5629.280357,7480.995432,9323.586803,10903.838999,11863.707387499999,13362.301689499998
Olympic Village,26644.5305559,24179.3471939,23563.4705547,20670.3902477,18650.8938467,16213.9101507,14902.9079067,14118.4476906,12445.6469276,11221.6387656,10352.5213606,8399.5019976,5636.206105599999,4572.3794026,3921.2137777,3537.7538265,2635.882561,21743.547827300004,20072.399462300004,23852.718601300003,24975.408141300002,28953.3011809,30078.166146900003,30913.4441531,32133.493512300003,32733.881321900004,31263.940815300004,29250.028238300005,27965.416728300006,23681.057024300004,18523.105896300003,16621.9945073,15165.3488663,13696.712949300001,12791.534502,11163.004129,10254.7904736,9242.4326569,9882.529641,10929.892188,11648.7867715,2080.712506,1007.85481,0,428.7702928,1948.9724207999998,3857.0289978,4621.425547,6473.140622,8315.731993,9895.984188999999,10855.852577499998,12354.446879499998
Broadway–City Hall,27073.3008487,24608.1174867,23992.2408475,21099.1605405,19079.6641395,16642.6804435,15331.6781995,14547.2179834,12874.4172204,11650.4090584,10781.2916534,8828.2722904,6064.9763984,5001.1496954,4349.984070500001,3966.5241193,3064.6528538000002,22172.318120100004,20501.169755100003,24281.488894100003,25404.178434100002,29382.0714737,30506.936439700003,31342.2144459,32562.263805100003,33162.6516147,31692.711108100004,29678.798531100005,28394.187021100006,24109.827317100004,18951.876189100003,17050.7648001,15594.1191591,14125.483242100001,13220.3047948,11591.7744218,10683.5607664,9671.2029497,9453.7593482,10501.1218952,11220.0164787,2509.4827988,1436.6251028000001,428.7702928,0,1520.202128,3428.258705,4192.6552542,6044.3703292,7886.9617001999995,9467.213896199999,10427.082284699998,11925.676586699998
King Edward,28593.502976699994,26128.319614699994,25512.442975499995,22619.362668499994,20599.866267499994,18162.882571499995,16851.880327499995,16067.420111399997,14394.619348399998,13170.611186399998,12301.493781399999,10348.4744184,7585.178526399999,6521.351823399999,5870.1861985,5486.726247299999,4584.854981799999,23692.5202481,22021.3718831,25801.6910221,26924.3805621,30902.273601699995,32027.138567699996,32862.416573899995,34082.4659331,34682.8537427,33212.9132361,31199.000659100002,29914.389149100003,25630.0294451,20472.0783171,18570.9669281,17114.3212871,15645.6853701,14740.5069228,13111.9765498,12203.762894399999,11191.4050777,7933.5572202,8980.919767200001,9699.8143507,4029.6849267999996,2956.8272307999996,1948.9724207999998,1520.202128,0,1908.056577,2672.4531262,4524.1682012,6366.759572200001,7947.0117682,8906.880156700001,10405.4744587
Oakridge-41st Avenue,30501.5595537,28036.3761917,27420.4995525,24527.4192455,22507.9228445,20070.9391485,18759.936904500002,17975.476688400002,16302.6759254,15078.6677634,14209.550358400002,12256.530995400002,9493.235103400002,8429.408400400001,7778.242775500001,7394.7828243,6492.9115588,25600.576825100004,23929.428460100004,27709.747599100003,28832.437139100002,32810.3301787,33935.1951447,34770.473150900005,35990.52251010001,36590.91031970001,35120.96981310001,33107.05723610001,31822.445726100006,27538.086022100004,22380.134894100003,20479.0235051,19022.377864100003,17553.741947100003,16648.563499800002,15020.033126800003,14111.819471400002,13099.461654700002,6025.500643199999,7072.863190199999,7791.757773699999,5937.7415038,4864.8838078,3857.0289978,3428.258705,1908.056577,0,764.3965492,2616.1116242,4458.702995199999,6038.955191199999,6998.823579699999,8497.4178817
Langara-49th Avenue,31265.956102899996,28800.772740899996,28184.896101699997,25291.815794699996,23272.319393699996,20835.335697699997,19524.333453699997,18739.873237599997,17067.072474599998,15843.0643126,14973.9469076,13020.927544600001,10257.631652600001,9193.8049496,8542.6393247,8159.179373499999,7257.308107999999,26364.973374300003,24693.825009300002,28474.1441483,29596.8336883,33574.72672789999,34699.591693899994,35534.8697001,36754.91905930001,37355.30686890001,35885.36636230001,33871.45378530001,32586.842275300005,28302.482571300003,23144.531443300002,21243.4200543,19786.7744133,18318.138496300002,17412.960049,15784.429676000002,14876.2160206,13863.858203900001,5261.104094,6308.466641,7027.3612245,6702.138053,5629.280357,4621.425547,4192.6552542,2672.4531262,764.3965492,0,1851.715075,3694.306446,5274.558642,6234.4270305,7733.0213325
Marine Drive,33117.6711779,30652.487815900004,30036.611176700004,27143.530869700004,25124.034468700003,22687.050772700004,21376.048528700005,20591.588312600004,18918.787549600005,17694.779387600003,16825.661982600002,14872.642619600001,12109.346727600001,11045.5200246,10394.3543997,10010.8944485,9109.023183,28216.688449300003,26545.540084300002,30325.8592233,31448.5487633,35426.4418029,36551.3067689,37386.584775100004,38606.63413430001,39207.02194390001,37737.08143730001,35723.16886030001,34438.557350300005,30154.197646300003,24996.246518300002,23095.1351293,21638.4894883,20169.853571300002,19264.675124,17636.144751,16727.9310956,15715.573278900001,3409.389019,4456.751566,5175.6461495,8553.853127999999,7480.995432,6473.140622,6044.3703292,4524.1682012,2616.1116242,1851.715075,0,1842.591371,3422.843567,4382.7119555,5881.3062575
Bridgeport,34960.262548900006,32495.079186900006,31879.202547700006,28986.122240700006,26966.625839700006,24529.642143700006,23218.639899700007,22434.179683600007,20761.378920600007,19537.370758600006,18668.253353600005,16715.233990600005,13951.938098600003,12888.111395600003,12236.945770700002,11853.485819500002,10951.614554000002,30059.27982030001,28388.13145530001,32168.45059430001,33291.14013430001,37269.0331739,38393.898139900004,39229.176146100006,40449.22550530001,41049.61331490001,39579.67280830001,37565.76023130001,36281.14872130001,31996.78901730001,26838.837889300008,24937.726500300007,23481.080859300007,22012.444942300008,21107.266495000007,19478.736122000006,18570.522466600007,17558.164649900005,1566.797648,2614.160195,3333.0547785,10396.444499000001,9323.586803000002,8315.731993000001,7886.9617002,6366.759572200001,4458.7029952,3694.306446,1842.591371,0,1580.252196,2540.1205845,4038.7148865
Templeton,36540.51474490001,34075.3313829,33459.4547437,30566.3744367,28546.8780357,26109.8943397,24798.8920957,24014.4318796,22341.6311166,21117.6229546,20248.5055496,18295.4861866,15532.190294600001,14468.3635916,13817.1979667,13433.7380155,12531.86675,31639.532016300003,29968.383651300002,33748.702790300005,34871.392330300005,38849.285369900004,39974.150335900005,40809.42834210001,42029.47770130001,42629.86551090001,41159.925004300014,39146.01242730001,37861.40091730001,33577.041213300006,28419.090085300002,26517.9786963,25061.3330553,23592.697138300002,22687.518691,21058.988318,20150.7746626,19138.4168459,3147.049844,4194.412391,4913.306974499999,11976.696694999999,10903.838999,9895.984188999999,9467.213896199999,7947.0117682,6038.9551912,5274.558642,3422.843567,1580.252196,0,959.8683885,2458.4626905
Sea Island Centre,37500.383133400006,35035.1997714,34419.3231322,31526.2428252,29506.7464242,27069.7627282,25758.7604842,24974.3002681,23301.4995051,22077.4913431,21208.373938099998,19255.3545751,16492.0586831,15428.2319801,14777.066355199999,14393.606403999998,13491.735138499998,32599.400404800002,30928.2520398,34708.571178800004,35831.260718800004,39809.1537584,40934.018724400004,41769.29673060001,42989.34608980001,43589.73389940001,42119.79339280001,40105.88081580001,38821.26930580001,34536.909601800005,29378.9584738,27477.8470848,26021.2014438,24552.5655268,23647.3870795,22018.8567065,21110.6430511,20098.2852344,4106.9182325,5154.2807795,5873.175363,12936.565083499998,11863.707387499999,10855.852577499998,10427.082284699998,8906.8801567,6998.8235797,6234.4270305,4382.7119555,2540.1205845,959.8683885,0,1498.594302
YVR–Airport,38998.9774354,36533.79407339999,35917.91743419999,33024.83712719999,31005.340726199996,28568.357030199997,27257.354786199998,26472.894570099998,24800.0938071,23576.085645099996,22706.968240099995,20753.948877099996,17990.652985099998,16926.8262821,16275.6606572,15892.200706,14990.3294405,34097.9947068,32426.8463418,36207.165480799995,37329.855020799994,41307.748060399994,42432.613026399995,43267.8910326,44487.9403918,45088.3282014,43618.3876948,41604.4751178,40319.8636078,36035.503903799996,30877.5527758,28976.441386799997,27519.7957458,26051.1598288,25145.981381499998,23517.451008499997,22609.237353099998,21596.879536399996,5605.5125345,6652.875081499999,7371.769665,14435.1593855,13362.3016895,12354.4468795,11925.6765867,10405.4744587,8497.417881700001,7733.0213325,5881.3062575,4038.7148865,2458.4626905,1498.594302,0
